@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1326:12:1326:17|Removing sequential instance genblk5\.bridge_sm_r[4] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[14] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[13] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[12] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[11] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[10] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[9] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[8] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
@N: BN362 :"c:\users\x-luo\proj\fpga\soc_gpio2\soc_gpio2\lib\latticesemi.com\ip\system0\2.3.1\rtl\system0.v":1286:12:1286:17|Removing sequential instance genblk5\.rd_prev_r[7] (in view: work.system0_ipgen_lscc_ahblmem_subordinate_Z21_layer0_1(verilog)) of type view:PrimLib.dffr(prim) because it does not drive other instances.
